transfer_id,case_id,from_account,to_account,amount,currency,transfer_time,transfer_channel,transfer_type,remark,status,embedding_id,raw_data
83bc9478-dd6a-47b8-a778-043bc5c5b37a,C001,13559407816,13849593103,200.00,CNY,2025-01-01 14:34:29,微信,扫码,生活费,成功,,
c28ebd70-7129-4889-a01a-c9927f9d3e64,C001,16648350305,13849593103,50.00,CNY,2025-02-04 13:59:18,支付宝,扫码,生活费,成功,,
3d42993c-cc9f-4334-9bdf-0377a14923c2,C001,15534192832,17600133890,200.00,CNY,2025-02-09 13:35:26,微信,扫码,,成功,,
7f95897c-276a-46ce-9507-55d9a5d04d53,C001,17600133890,15534192832,888.00,CNY,2025-02-07 12:17:26,银行转账,网银,代购,成功,,
ebff8d15-30cb-4755-a232-b17a25074181,C001,15534192832,18654235116,100.00,CNY,2025-01-18 18:17:49,支付宝,扫码,代购,成功,,
4c6e27ff-b9de-4a3a-8868-22b900a81de9,C001,13849593103,16648350305,200.00,CNY,2025-03-16 23:31:55,微信,扫码,,成功,,
749176f4-6090-4697-8b1e-3b9dc34b9fbb,C001,15534192832,13849593103,888.00,CNY,2025-01-25 22:15:36,微信,扫码,生活费,成功,,
cfb87e6f-e9d6-4f23-b489-d0707914f8a8,C001,19413164752,18104332181,100.00,CNY,2025-03-26 17:41:09,微信,扫码,生活费,失败,,
dfcaf0b7-19b1-4e80-9ea4-ae1754fd9ad3,C001,17386379402,16648350305,200.00,CNY,2025-01-13 13:29:00,现金,柜台,聚餐AA,成功,,
9f8ded97-56ab-42f1-83d8-8870f81dbaa1,C001,17386379402,17600133890,200.00,CNY,2025-03-25 06:21:54,支付宝,扫码,聚餐AA,成功,,
df547e50-7cea-4045-8268-283ee32f2e63,C001,19413164752,13849593103,100.00,CNY,2025-03-21 05:40:43,支付宝,扫码,,处理中,,
df615a5c-b432-4070-a23d-4c2fc2a79689,C001,17600133890,19413164752,50.00,CNY,2025-01-22 15:57:01,现金,柜台,,成功,,
5fc64cd0-721e-4b1f-b895-89399342a09f,C001,18104332181,17600133890,8888.00,CNY,2025-03-30 04:30:50,微信,扫码,货款,成功,,
79e5c9aa-592a-4549-bba1-09d08567c805,C001,17386379402,18104332181,6666.00,CNY,2025-02-20 21:26:00,微信,扫码,老地方定金,成功,,
